ClientMacAddr,localtime,Site,Level,lat,lng
9c:8c:6e:46:0b:7c,2019-08-13  00:10:19,UK Office,1st Floor,51.46078122,-0.932303677
c4:6e:1f:1a:81:1d,2019-08-13  00:10:19,UK Office,1st Floor,51.46048746,-0.9325127945
00:c2:c6:ec:4c:a3,2019-08-13  00:10:25,UK Office,3rd Floor,51.46042269,-0.9326256521
08:f6:9c:14:24:1b,2019-08-13  00:10:25,UK Office,2nd Floor,51.46083184,-0.93224795
80:2b:f9:9f:d3:23,2019-08-13  00:10:25,UK Office,Ground Floor,51.46074333,-0.9323727319
9c:8c:6e:46:0c:52,2019-08-13  00:10:25,UK Office,2nd Floor,51.4607287,-0.9323237696
9c:da:3e:69:d3:f4,2019-08-13  00:10:25,UK Office,Ground Floor,51.46055487,-0.932389888
e8:de:27:9f:7f:0c,2019-08-13  00:10:25,UK Office,2nd Floor,51.46040876,-0.9325682044
04:ea:56:92:f9:9b,2019-08-13  00:10:26,UK Office,Ground Floor,51.46037941,-0.9325970944
0c:51:01:b3:88:92,2019-08-13  00:10:26,UK Office,2nd Floor,51.46085034,-0.9322939575
24:1b:7a:b1:f2:ef,2019-08-13  00:10:26,UK Office,1st Floor,51.46068928,-0.9322374
28:cf:e9:2d:5d:b5,2019-08-13  00:10:26,UK Office,Ground Floor,51.46050583,-0.9323208514
34:e1:2d:c6:a8:59,2019-08-13  00:10:26,UK Office,Ground Floor,51.46038896,-0.9326124584
c4:6e:1f:1a:68:a1,2019-08-13  00:10:26,UK Office,Ground Floor,51.46034444,-0.9325193752
00:80:92:df:7b:97,2019-08-13  00:10:27,UK Office,Ground Floor,51.46035129,-0.9325248367
4c:56:9d:75:d1:e5,2019-08-13  00:10:27,UK Office,2nd Floor,51.46083184,-0.93224795
9c:8c:6e:46:01:f8,2019-08-13  00:10:27,UK Office,2nd Floor,51.46042205,-0.9328795756
9c:8c:6e:46:1c:5e,2019-08-13  00:10:27,UK Office,1st Floor,51.46046175,-0.9329512569
9c:da:3e:7f:a1:98,2019-08-13  00:10:27,UK Office,Ground Floor,51.46054518,-0.9324269553
d0:e4:0b:fb:a2:6c,2019-08-13  00:10:27,UK Office,3rd Floor,51.46052319,-0.932416607
7c:91:22:a9:48:7b,2019-08-13  00:10:28,UK Office,Ground Floor,51.46037686,-0.9325274261
c4:6e:1f:1b:72:40,2019-08-13  00:10:28,UK Office,2nd Floor,51.46042904,-0.9326962931
c4:6e:1f:1c:f2:9b,2019-08-13  00:10:28,UK Office,2nd Floor,51.46057193,-0.9323930632
ec:ad:b8:7d:23:e8,2019-08-13  00:10:28,UK Office,Ground Floor,51.46035916,-0.9325526095
fc:03:9f:07:af:f4,2019-08-13  00:10:28,UK Office,Ground Floor,51.46080787,-0.93228483
4c:34:88:f6:62:9c,2019-08-13  00:10:29,UK Office,Ground Floor,51.46050993,-0.9323062616
5c:ad:cf:c2:25:b8,2019-08-13  00:10:29,UK Office,Ground Floor,51.46035875,-0.93256441
9c:8c:6e:46:0b:7c,2019-08-13  00:10:29,UK Office,1st Floor,51.46076978,-0.9323034342
c4:6e:1f:1a:81:1d,2019-08-13  00:10:29,UK Office,1st Floor,51.46048848,-0.9325280396
00:c2:c6:ec:4c:a3,2019-08-13  00:10:35,UK Office,3rd Floor,51.46042269,-0.9326256521
08:f6:9c:14:24:1b,2019-08-13  00:10:35,UK Office,2nd Floor,51.46083184,-0.93224795
5c:ad:cf:c2:25:b8,2019-08-13  00:10:35,UK Office,Ground Floor,51.46035875,-0.93256441
80:2b:f9:9f:d3:23,2019-08-13  00:10:35,UK Office,Ground Floor,51.4607465,-0.932372432
9c:8c:6e:46:0c:52,2019-08-13  00:10:35,UK Office,2nd Floor,51.4607287,-0.9323237696
9c:da:3e:69:d3:f4,2019-08-13  00:10:35,UK Office,Ground Floor,51.46055487,-0.932389888
e8:de:27:9f:7f:0c,2019-08-13  00:10:35,UK Office,2nd Floor,51.46040876,-0.9325682044
0c:51:01:b3:88:92,2019-08-13  00:10:36,UK Office,2nd Floor,51.46085034,-0.9322939575
24:1b:7a:b1:f2:ef,2019-08-13  00:10:36,UK Office,1st Floor,51.46068928,-0.9322374
28:cf:e9:2d:5d:b5,2019-08-13  00:10:36,UK Office,Ground Floor,51.46050583,-0.9323208514
04:ea:56:92:f9:9b,2019-08-13  00:10:37,UK Office,Ground Floor,51.46037454,-0.9325966573
34:e1:2d:c6:a8:59,2019-08-13  00:10:37,UK Office,Ground Floor,51.46039708,-0.9326164114
4c:56:9d:75:d1:e5,2019-08-13  00:10:37,UK Office,2nd Floor,51.46083184,-0.93224795
9c:8c:6e:46:01:f8,2019-08-13  00:10:37,UK Office,2nd Floor,51.46041988,-0.9328850919
9c:8c:6e:46:1c:5e,2019-08-13  00:10:37,UK Office,1st Floor,51.46046175,-0.9329512569
9c:da:3e:7f:a1:98,2019-08-13  00:10:37,UK Office,Ground Floor,51.46054518,-0.9324269553
c4:6e:1f:1a:68:a1,2019-08-13  00:10:37,UK Office,Ground Floor,51.46034948,-0.9325178819
d0:e4:0b:fb:a2:6c,2019-08-13  00:10:37,UK Office,3rd Floor,51.46051757,-0.932421509
00:80:92:df:7b:97,2019-08-13  00:10:38,UK Office,Ground Floor,51.46035129,-0.9325248367
c4:6e:1f:1b:72:40,2019-08-13  00:10:38,UK Office,2nd Floor,51.46042898,-0.9326980891
c4:6e:1f:1c:f2:9b,2019-08-13  00:10:38,UK Office,2nd Floor,51.46057184,-0.9323965982
fc:03:9f:07:af:f4,2019-08-13  00:10:38,UK Office,Ground Floor,51.46080787,-0.93228483
4c:34:88:f6:62:9c,2019-08-13  00:10:39,UK Office,Ground Floor,51.46050993,-0.9323062616
7c:91:22:a9:48:7b,2019-08-13  00:10:39,UK Office,Ground Floor,51.46037686,-0.9325274261
9c:8c:6e:46:0b:7c,2019-08-13  00:10:39,UK Office,1st Floor,51.46076978,-0.9323034342
c4:6e:1f:1a:81:1d,2019-08-13  00:10:39,UK Office,1st Floor,51.46048949,-0.9325429952
ec:ad:b8:7d:23:e8,2019-08-13  00:10:39,UK Office,Ground Floor,51.46035916,-0.9325526095
4c:34:88:f6:62:9c,2019-08-13  00:10:44,UK Office,Ground Floor,51.46050993,-0.9323062616
9c:8c:6e:46:0b:7c,2019-08-13  00:10:44,UK Office,1st Floor,51.46076978,-0.9323034342
c4:6e:1f:1a:81:1d,2019-08-13  00:10:44,UK Office,1st Floor,51.46048848,-0.9325280396
00:c2:c6:ec:4c:a3,2019-08-13  00:10:45,UK Office,3rd Floor,51.46042445,-0.9326332499
08:f6:9c:14:24:1b,2019-08-13  00:10:45,UK Office,2nd Floor,51.46083184,-0.93224795
5c:ad:cf:c2:25:b8,2019-08-13  00:10:45,UK Office,Ground Floor,51.46035875,-0.93256441
80:2b:f9:9f:d3:23,2019-08-13  00:10:45,UK Office,Ground Floor,51.46074807,-0.932372205
9c:8c:6e:46:0c:52,2019-08-13  00:10:45,UK Office,2nd Floor,51.4607287,-0.9323237696
9c:da:3e:69:d3:f4,2019-08-13  00:10:45,UK Office,Ground Floor,51.46055487,-0.932389888
e8:de:27:9f:7f:0c,2019-08-13  00:10:45,UK Office,2nd Floor,51.46040876,-0.9325682044
0c:51:01:b3:88:92,2019-08-13  00:10:46,UK Office,2nd Floor,51.46085034,-0.9322939575
24:1b:7a:b1:f2:ef,2019-08-13  00:10:46,UK Office,1st Floor,51.46068928,-0.9322374
28:cf:e9:2d:5d:b5,2019-08-13  00:10:46,UK Office,Ground Floor,51.46050583,-0.9323208514
04:ea:56:92:f9:9b,2019-08-13  00:10:47,UK Office,Ground Floor,51.46037454,-0.9325966573
34:e1:2d:c6:a8:59,2019-08-13  00:10:47,UK Office,Ground Floor,51.46039708,-0.9326164114
4c:56:9d:75:d1:e5,2019-08-13  00:10:47,UK Office,2nd Floor,51.46083184,-0.93224795
9c:8c:6e:46:01:f8,2019-08-13  00:10:47,UK Office,2nd Floor,51.46041988,-0.9328850919
9c:8c:6e:46:1c:5e,2019-08-13  00:10:47,UK Office,1st Floor,51.46046175,-0.9329512569
9c:da:3e:7f:a1:98,2019-08-13  00:10:47,UK Office,Ground Floor,51.46054518,-0.9324269553
c4:6e:1f:1a:68:a1,2019-08-13  00:10:47,UK Office,Ground Floor,51.46034687,-0.9325186566
d0:e4:0b:fb:a2:6c,2019-08-13  00:10:47,UK Office,3rd Floor,51.46051904,-0.932421004
00:80:92:df:7b:97,2019-08-13  00:10:48,UK Office,Ground Floor,51.46035129,-0.9325248367
fc:03:9f:07:af:f4,2019-08-13  00:10:48,UK Office,Ground Floor,51.46080787,-0.93228483
7c:91:22:a9:48:7b,2019-08-13  00:10:49,UK Office,Ground Floor,51.46037686,-0.9325274261
c4:6e:1f:1b:72:40,2019-08-13  00:10:49,UK Office,2nd Floor,51.46042904,-0.9326962931
c4:6e:1f:1c:f2:9b,2019-08-13  00:10:49,UK Office,2nd Floor,51.46057184,-0.9323965982
ec:ad:b8:7d:23:e8,2019-08-13  00:10:49,UK Office,Ground Floor,51.46035916,-0.9325526095
00:c2:c6:ec:4c:a3,2019-08-13  00:10:55,UK Office,3rd Floor,51.46042445,-0.9326332499
08:f6:9c:14:24:1b,2019-08-13  00:10:55,UK Office,2nd Floor,51.46083184,-0.93224795
4c:34:88:f6:62:9c,2019-08-13  00:10:55,UK Office,Ground Floor,51.46050993,-0.9323062616
5c:ad:cf:c2:25:b8,2019-08-13  00:10:55,UK Office,Ground Floor,51.46035875,-0.93256441
80:2b:f9:9f:d3:23,2019-08-13  00:10:55,UK Office,Ground Floor,51.46074333,-0.9323727319
9c:8c:6e:46:0b:7c,2019-08-13  00:10:55,UK Office,1st Floor,51.46076978,-0.9323034342
9c:8c:6e:46:0c:52,2019-08-13  00:10:55,UK Office,2nd Floor,51.4607287,-0.9323237696
9c:da:3e:69:d3:f4,2019-08-13  00:10:55,UK Office,Ground Floor,51.46055717,-0.9323900987
c4:6e:1f:1a:81:1d,2019-08-13  00:10:55,UK Office,1st Floor,51.46048848,-0.9325280396
e8:de:27:9f:7f:0c,2019-08-13  00:10:55,UK Office,2nd Floor,51.46040918,-0.9325712754
0c:51:01:b3:88:92,2019-08-13  00:10:56,UK Office,2nd Floor,51.46083084,-0.9323011918
24:1b:7a:b1:f2:ef,2019-08-13  00:10:56,UK Office,1st Floor,51.46068928,-0.9322374
04:ea:56:92:f9:9b,2019-08-13  00:10:57,UK Office,Ground Floor,51.46037454,-0.9325966573
28:cf:e9:2d:5d:b5,2019-08-13  00:10:57,UK Office,Ground Floor,51.46050583,-0.9323208514
34:e1:2d:c6:a8:59,2019-08-13  00:10:57,UK Office,Ground Floor,51.46039708,-0.9326164114
4c:56:9d:75:d1:e5,2019-08-13  00:10:57,UK Office,2nd Floor,51.46083184,-0.93224795
9c:8c:6e:46:01:f8,2019-08-13  00:10:57,UK Office,2nd Floor,51.46041988,-0.9328850919
9c:8c:6e:46:1c:5e,2019-08-13  00:10:57,UK Office,1st Floor,51.46046273,-0.9329331859
9c:da:3e:7f:a1:98,2019-08-13  00:10:57,UK Office,Ground Floor,51.46054518,-0.9324269553
c4:6e:1f:1a:68:a1,2019-08-13  00:10:57,UK Office,Ground Floor,51.46034687,-0.9325186566
d0:e4:0b:fb:a2:6c,2019-08-13  00:10:57,UK Office,3rd Floor,51.46051904,-0.932421004
00:80:92:df:7b:97,2019-08-13  00:10:58,UK Office,Ground Floor,51.46035129,-0.9325248367
fc:03:9f:07:af:f4,2019-08-13  00:10:58,UK Office,Ground Floor,51.46080787,-0.93228483
7c:91:22:a9:48:7b,2019-08-13  00:10:59,UK Office,Ground Floor,51.46037686,-0.9325274261
c4:6e:1f:1b:72:40,2019-08-13  00:10:59,UK Office,2nd Floor,51.46042904,-0.9326962931
c4:6e:1f:1c:f2:9b,2019-08-13  00:10:59,UK Office,2nd Floor,51.46057184,-0.9323965982
ec:ad:b8:7d:23:e8,2019-08-13  00:10:59,UK Office,Ground Floor,51.46035916,-0.9325526095
